Assessment Name,Assessment URL,Text
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Skills development and workforce assessment
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Technical programming skills assessment
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Technical programming skills assessment
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Technical programming skills assessment
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Technical programming skills assessment
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Technical programming skills assessment
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Technical programming skills assessment
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,General professional skills assessment
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Role-based skills simulation assessment
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,General professional skills assessment
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Role-based skills simulation assessment
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Technical programming skills assessment
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,General professional skills assessment
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,General professional skills assessment
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,General professional skills assessment
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,General professional skills assessment
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,Skills development and workforce assessment
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,General professional skills assessment
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,General professional skills assessment
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Skills development and workforce assessment
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,Skills development and workforce assessment
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,General professional skills assessment
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,General professional skills assessment
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,General professional skills assessment
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,General professional skills assessment
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,General professional skills assessment
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,General professional skills assessment
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,General professional skills assessment
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,General professional skills assessment
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,General professional skills assessment
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Technical programming skills assessment
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Technical programming skills assessment
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,Skills development and workforce assessment
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,General professional skills assessment
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,General professional skills assessment
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,General professional skills assessment
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,General professional skills assessment
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,General professional skills assessment
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,General professional skills assessment
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,General professional skills assessment
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,General professional skills assessment
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,Skills development and workforce assessment
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,General professional skills assessment
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,General professional skills assessment
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,General professional skills assessment
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,General professional skills assessment
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,General professional skills assessment
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,General professional skills assessment
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,General professional skills assessment
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,General professional skills assessment
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,General professional skills assessment
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,General professional skills assessment
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,General professional skills assessment
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,General professional skills assessment
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,General professional skills assessment
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,General professional skills assessment
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,General professional skills assessment
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,General professional skills assessment
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,General professional skills assessment
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,General professional skills assessment
